movieId,score,reason
50,0.97,A galaxy of wonder where every starship jump sparks pure awe.
173,0.94,Enchanting blend of fairy tale whimsy and boundless imagination.
132,0.91,Tornado-swept escape to technicolor dreams and friend-filled skies.
423,0.88,Gentle alien magic and heartfelt bonds that lift you off the ground.
432,0.85,Orchestral animation odyssey that dazzles every sense with wonder.
420,0.82,Surreal cartoon adventure where imagination trumps reality at every turn.
142,0.79,Animated spells and seaside escapades brim with childlike charm.
419,0.76,Chimney-swept magic and rooftop ballet feel like a warm embrace.
143,0.73,"Mountains become a stage for song, lifting spirits in every note."
418,0.7,Simple tale of transformation where kindness reigns supreme.
