movieId,score,reason
441,1.0,"A family moves into a pristine home, only to find unseen terrors lurking in its walls and whispers in the night."
438,0.95,"Suburban dullness shattered by a monstrous terror rising from the sea, hiding its claws beneath calm waters."
440,0.9,"Sinister shadows return to a sleepy town, reigniting old horrors behind every manicured hedge."
439,0.88,An evil dollhouse mirrors twisted secrets in a picture-perfect suburb under its glassy gaze.
442,0.86,"A priest’s dark confessions haunt an idyllic village, turning piety into paranoia."
305,0.84,"A perfect family, a terrible ice storm, and a suburban calm cracking open to reveal hidden fractures."
123,0.82,"The living dead stroll through a peaceful town, unraveling its everyday bliss with every ghostly whisper."
337,0.8,An eccentric family estate brims with offbeat charm and lurking madness behind its genteel facade.
565,0.78,"Children in a placid town fall silent in a chilling dream, revealing an unsettling force at the heart of normalcy."
1230,0.76,"A top-secret CIA mission crashes into a town’s calm, kicking off unseen dangers beneath friendly streets."
