movieId,score,reason
45,0.98,A father’s Sunday feasts become the language of love and reconciliation
137,0.96,Two brothers cook up a culinary masterpiece to save their struggling restaurant
462,0.94,"Cooking becomes the conduit for passion, rebellion and family bonds in Taiwan"
171,0.92,A Parisian butcher shop’s gourmet offerings mirror its owners’ hidden desires
880,0.9,Soul food dinners anchor a family’s unity and healing over one vital meal
137,0.88,"A single, glorious meal tests friendship and personal pride in small-town Italy"
45,0.86,Intergenerational love unfolds around meticulously prepared banquets
462,0.84,Recipes carry memory and forgiveness through generations of a Mexican clan
137,0.82,A chef’s devotion to perfect cuisine brings healing to a broken community
171,0.8,A single dish bridges gaps between neighbors and reveals shared humanity
