movieId,score,reason,title,year,plot
191,0.95,Mozart’s genius corrupts rival Salieri in spiraling obsession.,Amadeus,1984,
508,0.93,Biopic of Hustler king pushing ambition to the brink.,"People vs. Larry Flynt, The",1996,
285,0.9,Women confronting ambition’s cost in a tight drama.,Secrets & Lies,1996,
259,0.88,Fish-out-of-water tale of self-reinvention and its perils.,George of the Jungle,1997,
475,0.85,Addiction-tinged descent driven by inner demons.,Trainspotting,1996,
188,0.83,Betrayal and war trauma ignite tragic rivalry.,Full Metal Jacket,1987,
285,0.8,Obsession and loss haunt theatrical ambition.,Secrets & Lies,1996,
385,0.78,Spy-driven clash between duty and ruthless ambition.,True Lies,1994,
582,0.75,Daphne’s quest for identity and deadly fixation.,The Crying Game,1992,
349,0.72,Survival-driven collapse of trust and ambition.,Hard Rain,1998,
