movieId,score,reason,title,year,plot
178,0.95,All-star jury room thriller built on escalating tension.,12 Angry Men,1957,
160,0.93,Cutthroat office drama unfolding like a fierce stage play.,Glengarry Glen Ross,1992,
464,0.9,Intimate play rehearsal film in a dilapidated theatre.,Vanya on 42nd Street,1994,
92,0.88,"Tense heist lineup drama driven by sharp, confined dialogue.",The Usual Suspects,1995,
142,0.86,Multi-layered homebound mystery that grips in every confined corner.,Bedknobs and Broomsticks,1971,
158,0.84,"Stuck in one house, dark comedy-thriller thrives on banter.",Weekend at Bernie's,1989,
285,0.82,Family rivalry drama in one living room setting.,Secrets & Lies,1996,
472,0.8,"Clash of worlds in a small schoolhouse, dialogue-driven drama.",Dragonheart,1996,
600,0.78,Shipwreck drama mostly set aboard a single ship locale.,Daniel Defoe's Robinson Crusoe,1997,
500,0.75,Orphanage story with rich dialogue in confined farm and river.,Four Days in September,1997,
