movieId,score,reason
77,0.9,"Inside look at law firm politics, partner rivalry, and secret deal-making"
310,0.88,Shady firm preps client’s case with backroom maneuvering and ethical compromise
356,0.85,"Lawyers manipulate a child’s case behind the scenes, coaching and bargaining hard"
282,0.82,Tense plea bargaining and ethical tug-of-war before a courtroom showdown
591,0.8,"Defense attorney digs into witness psyche, coaching testimony beyond the courtroom"
43,0.78,Corporate merger turns into a war of backstage legal tactics and power plays
294,0.75,A lawyer’s lies unravel in comedic backroom negotiation scenes
572,0.72,Quiz-show scandal explored through pretrial deal-cutting and whispered strategies
291,0.7,Thief-turned-lawyer navigates illicit intel and political leverage before trial
356,0.68,"Attorney counsels a child, steering testimony and deals far from the courtroom"
