movieId,score,reason
764,0.95,"Good person forced to kill one man to save his family, then must live with it"
373,0.9,"Well‐meaning man coerced into atrocity for loved ones, burden never lifted"
607,0.85,"Decent agent must commit murder to protect others, then carries guilt forever"
126,0.8,"Ordinary man driven to violence to save family, haunted by his act"
44,0.75,Right a wrong but cost is a single unspeakable deed and lifelong remorse
1235,0.7,"Father forced into hideous act for child’s sake, then struggles with self"
813,0.65,"Investigator coerced into terrible crime to protect family, no redemption"
207,0.6,"Hero forced to cross moral line for kin, must endure inner damnation"
1099,0.55,"Model mother commits one unspeakable act to save kin, then bears its weight"
139,0.5,"Desperate father driven to murder to shield child, lives crushed afterward"
