movieId,score,reason,prompt_id
318,0.97,A businessman witnesses the Holocaust’s horrors through the eyes of those he employs,0787
651,0.95,"The valor and loss of an African-American regiment during the Civil War, seen up close",0787
199,0.93,British POWs forced to build a bridge endure the small cruelties of daily camp life,0787
86,0.91,A devoted English butler reflects on fifty years of service under scrutiny and regret,0787
241,0.89,"A frontier guide protects two sisters from war’s chaos, focusing on intimate survival moments",0787
286,0.87,A dying nurse cares for a mysterious patient against the backdrop of WWII Italy’s everyday brutality,0787
97,0.85,A Union officer makes peace with a Plains tribe amid the grinding ordeal of frontier isolation,0787
22,0.83,A commoner’s fight to survive under English rule during the First Scottish War of Independence,0787
515,0.81,A submarine crew faces isolation and mistrust in a Cold War sea crucible,0787
493,0.79,A country butler’s loyalty clashes with personal conscience in pre-war England,0787
