movieId,score,reason,prompt_id
3,0.98,Multiple intersecting stories unfold over one chaotic New Year’s Eve in a single hotel,0785
39,0.95,"A night in near-future LA sees raw, propulsive talelines collide amid unrest and tech noir dread",0785
56,0.93,A non-linear ensemble of L.A. stories crash together over one frantic night,0785
325,0.91,Intersecting L.A. lives collide after a car crash in this mosaic of chance encounters,0785
150,0.89,A tight-knit group of friends careens through one night of anxious club-hopping in LA,0785
955,0.87,Two strangers share one transformative night wandering Vienna’s streets before sunrise,0785
1529,0.85,Parallel paths split then intersect as fate unfolds over two versions of one evening,0785
156,0.83,A heist’s aftermath sees disparate criminals trapped together in a warehouse over one night,0785
70,0.81,Multiple London characters navigate one emotionally charged wedding and reveal hidden tensions,0785
100,0.79,An Indiana car dealer’s desperate weekend plunges him into a bungled kidnapping caper,0785
