movieId,score,reason
11,1.0,"Dark, twisty serial killer thriller with relentless tension"
12,0.91,Ingenious crime caper with razor-sharp twists and a legendary reveal
5,0.82,Psychologically intense suspense as a profiler hunts a copycat killer
591,0.73,Legal thriller full of courtroom intrigue and shocking revelations
159,0.64,Seductive thriller with a gripping cat-and-mouse between detective and suspect
98,0.55,Haunting psychological chase with a brilliant mind game at its core
568,0.46,High-octane ride that never lets up once the bus hits a speed threshold
7,0.37,Mind-bending sci-fi thriller that keeps you guessing on every jump
54,0.28,Medical thriller with escalating stakes in race-against-time survival
333,0.19,"Psychological puzzle of reality and control in a chilling, twisty plot"
