movieId,score,reason
191,0.98,Salieri’s admiration and jealousy spiral into a devastating mentor-protégé betrayal.
196,0.95,A charismatic teacher’s guidance sours under idealistic young students’ ambitions.
698,0.92,An old-school pedagogue confronts professional betrayal and disappointment.
272,0.9,Psychologist guides a troubled genius until professional and personal resentments erupt.
12,0.88,Criminals’ confessions expose a master manipulator undone by his own protégé’s cunning.
657,0.85,Brainwashed soldier turns on his manipulators in a relentless study of power and deceit.
566,0.82,Submarine captain vs. executive standoff tests the boundaries of authority and ethics.
31,0.8,A naval commander and his executive clash over nuclear orders in a tense power struggle.
38,0.78,Cyber-expert’s trusting protégé relationship fractures under high-stakes corporate betrayal.
239,0.75,A hacker’s mentorship in a rogue team descends into mistrust and moral conflict.
