movieId,score,reason
138,1.0,Underdog hockey squad finds unity to pull off the impossible
239,0.95,Motley crew of experts bands together to crack a high-tech heist
655,0.9,Childhood friends form an unbreakable bond on a life-changing quest
820,0.85,Mismatched team unites to defend the court in a cosmic crossover
21,0.8,Muppet misfits forge true friendship on a madcap pirate voyage
1053,0.75,Reunited childhood pals lean on each other through life’s twists
1411,0.7,Women from different backgrounds unite in shared stories of hope
28,0.65,Stranded astronauts must trust each other to survive a doomed mission
62,0.6,Diverse exploration team learns to rely on each other under siege
22,0.55,A ragtag rebel force transforms into a brotherhood against overwhelming odds
