movieId,score,reason
67,1.0,An eccentric detective’s animal-rescuing capers spark uproarious hilarity.
80,0.95,A spoofed action squad meets its match in absurd combat and riotous sight gags.
41,0.9,A wealthy heir’s childish antics ignite non-stop pratfalls and cheerful chaos.
249,0.85,A swinging secret agent lampoons 1960s camp with outrageous comic flair.
367,0.8,"A teen socialite’s bemused matchmaking leads to gleeful, heartwarming chaos."
94,0.75,A youngster’s ingenious traps turn home invasion into laugh-out-loud mayhem.
72,0.7,A mask-wielding everyman unleashes cartoonish mayhem in a neon cityscape.
21,0.65,Pirate puppets and a boy’s escapades blend swashbuckling fun and heart.
393,0.6,A kindly cook’s broadcast takes an uproarious turn amid confined calamity.
25,0.55,A high-spirited drag club owner navigates outrageous antics with boundless flair.
