movieId,score,reason
60,0.9,Poignant mourning and graceful solitude create gentle ache
86,0.89,Subtle regret and suppressed longing suffuse every moment
14,0.88,Poetic correspondence evokes sweet nostalgia
20,0.87,Understated passion and concealed sorrows linger softly
19,0.86,Generational warmth tinged with bittersweet reflection
45,0.85,Family dinners brim with savory warmth and quiet regret
512,0.83,Angelic wanderers ponder longing amidst muted streets
357,0.82,Quiet bonds form amid institutional stillness
70,0.81,Touching humor punctuated by heartfelt farewells
221,0.8,Devotional love meets tragedy in an austere seaside town
