movieId,score,reason
474,0.99,"Satirical Cold War black comedy, razor-sharp wit and absurd gags."
168,0.95,"Iconic British absurdist quest, deadpan humor with surreal, darkly comic twists."
175,0.92,Dystopian satire blending off-beat visuals and dry wit in a Kafkaesque bureaucratic nightmare.
902,0.9,Cult classic with sly dialogue and absurd caper full of deadpan humor.
100,0.88,Dark crime comedy marked by mordant wit and quirky Midwestern characters.
663,0.86,Subtle political satire where childlike naiveté generates quietly hilarious absurdity.
154,0.84,Sharp irreverent satire of religious themes with Python’s trademark irreverent humor.
42,0.82,Low-budget cult hit packed with sardonic banter and everyday absurdities.
4,0.8,"Smooth Hollywood crime comedy, witty dialogue playing off larger-than-life underworld antics."
3,0.78,"Anthology of off-kilter hotel tales, dark humor in twisted, unpredictable episodes."
