movieId,score,reason
144,0.95,Die Hard is a landmark action thriller free of comedy/romance tropes
96,0.94,Terminator 2: Judgment Day delivers sci-fi action without romantic comedy
82,0.93,Jurassic Park blends adventure and sci-fi with no core romantic or comic focus
56,0.92,Pulp Fiction is an intense crime drama unbound by comedic or romantic labels
318,0.91,Schindler's List stands as a powerful drama devoid of comedy or romance
22,0.9,Braveheart offers historical epic drama without romantic-comedy elements
273,0.89,Heat is a gritty crime drama with no comedy or romantic emphasis
11,0.88,"Seven (Se7en) is a dark thriller focused on crime, not comedy or romance"
127,0.87,"Godfather, The explores crime and family drama without romantic-comedy beats"
134,0.86,"Citizen Kane examines power and memory, not fitting comedy/romance genres"
