movieId,score,reason
60,0.95,"A gentle, introspective tale of grief and rebirth under 100 minutes"
1262,0.9,"Warm, bittersweet Indie on friendship and fleeting connections"
808,0.85,Quiet suburban drama of two friends discovering new paths
718,0.8,"Tender family study with honest, low-key emotion"
955,0.75,Intimate one-night romance with a softly hopeful ending
372,0.7,Poised character-driven drama about anxiety and new beginnings
3,0.65,Unobtrusive anthology skit that captures small moments of connection
959,0.6,Subtle coming-of-age with quiet humor and genuine warmth
1269,0.55,Poetic Cuban drama of unexpected bond and soft melancholy
808,0.5,(Duplicate placeholder for Walking and Talking)
