movieId,score,reason
64,0.95,Andy Dufresne endures decades of prison life and finds small ways to survive.
515,0.91,Crew trapped in a German U-boat face nonstop tension and claustrophobic endurance.
28,0.89,Astronauts stranded far from Earth struggle against dwindling supplies and isolation.
31,0.87,Submarine crew under threat of nuclear launch must keep steady under impossible odds.
7,0.85,Coping with a deadly virus and living underground tests characters’ mental strength.
54,0.83,Quarantine during a deadly outbreak forces characters into fear-fuelled stasis.
79,0.81,Wrongly accused surgeon on the run fights to prove his innocence against overwhelming odds.
135,0.78,Astronaut isolated aboard Discovery faces existential dread in silent vastness.
520,0.75,Allied POWs endure monotony and terror in a German POW camp awaiting escape.
202,0.72,Repeatedly reliving the same day pushes one man to confront his choices and self.
