movieId,score,reason
331,1.0,A gripping Alaskan survival thriller with relentless nature vs man stakes
576,0.95,High-altitude action thriller that feels like a claustrophobic ordeal
148,0.9,True-story hunt in the African wilderness against deadly lions
295,0.85,Tense desert road thriller that never lets up
164,0.8,Underwater sci-fi survival that will exhaust you
234,0.75,Iconic ocean survival thriller against a seemingly unstoppable shark
353,0.7,Non-stop sea-bound terror against monstrous foes
281,0.65,Family-drama turned white-knuckle river rafting survival
252,0.6,Dinosaur-infested island forces a small team to fight for their lives
576,0.55,(Duplicate of Cliffhanger placeholder)
