movieId,score,reason
42,0.98,Fast-talking convenience-store charm keeps the laughs rolling.
1,0.96,"Bright, breezy animation perfect for a light late-night pick-me-up."
67,0.94,85 minutes of eccentric animal rescue antics for zero brainpower.
72,0.92,"101 minutes of cartoon chaos—engaging, goofy, and never slows down."
206,0.9,"Slick sci-fi thrills in a lean, unpretentious anime under 100 minutes."
202,0.88,An engaging loop of comedy and light existential musing.
21,0.86,A swashbuckling Muppet caper that never overstays its welcome.
95,0.84,Genie hijinks and heartfelt fun in under 90 minutes.
367,0.82,Teen comedy with quick pacing and easy late-hour laughs.
802,0.8,"Non-stop sci-fi action in a compact, adrenaline-packed package."
