movieId,score,reason
14,0.98,Postal worker forms a fleeting bond with a poet in remote Italian village
253,0.96,"Model and lover share minimalistic, poetic conversations in Hong Kong"
18,0.94,"Child and irritable shopkeeper forge brief, cross-cultural connection in Tehran"
45,0.92,Silent widow and her daughters share heartfelt moments over minimal dialogue
59,0.9,French student and retired judge explore chance connection in Geneva
13,0.88,Dry Greek-style humor frames a brief encounter with deep emotional resonance
562,0.86,Courtroom comedy about chance meetings and fleeting human connections
83,0.84,Quick wit and chance meeting in minimal-plot Shakespearean setting
114,0.82,Stop-motion vignette of fleeting encounters across cultural divides
2,0.8,"Spy duo’s brief alliance overseas offers minimal plot, rich dialogue"
