movieId,score,reason
313,0.95,"Titanic’s sweeping romance, grandiose staging, and tragic climax sweep you headlong into aching destiny."
955,0.93,"Before Sunrise’s whispered confessions under Viennese moonlight capture pure, ephemeral enchantment."
133,0.91,"Gone with the Wind’s sweeping Civil War saga and indomitable passion engulf you in epic, romantic fervor."
421,0.89,Romeo and Juliet’s timeless verses and star-crossed moments unleash a heart-stopping wave of longing.
483,0.87,Casablanca’s smoky Casablanca nights and doomed love confessions swell with breathtaking romantic weight.
51,0.85,Legends of the Fall’s majestic landscapes and soul-pounding love story ride the wind of longing.
241,0.83,"Last of the Mohicans’ heroic rescue across roaring rapids forges an unforgettable, tidal wave of devotion."
286,0.81,The English Patient’s desert sunsets and aching flashbacks form a hauntingly romantic tapestry.
97,0.79,"Dances with Wolves’ epic prairie vistas and cross-cultural bond conjure a rousing, sweeping romance."
164,0.77,"Apocalypse Now’s Mad Willard journey may shock, but its brooding finale kindles a strange, cinematic longing."
