movieId,score,reason
483,1.0,Two star-crossed lovers separated by war leave a bittersweet ache in every farewell
286,0.95,Poignant memory of a doomed love story lingers long after its haunting last kiss
955,0.9,A single perfect night together births an ache that lasts a lifetime
1681,0.85,A tiny lost earring sets off parallel love stories that ache with near-miss longing
1429,0.8,Hong Kong’s lonely hearts find fleeting connection in a city of passing strangers
313,0.75,Youthful dreams aboard a doomed voyage leave a gorge of beautiful ‘what-ifs’
990,0.7,Tolstoy’s tragic passion crackles with regret and longing in a grand Russian epic
221,0.65,A wife’s faith and sacrifice echo in an unspoken ache of love tested by tragedy
918,0.6,"An angel’s unseen devotion to a grieving surgeon pulses with tender, unfulfilled yearning"
88,0.55,A lonely widower’s voice on the airwaves rekindles sweet sorrow and quiet hope
