movieId,score,reason
175,0.9,Surreal dystopian satire drenched in absurdist imagery
214,0.89,Hallucinatory rock opera visual metaphor uncages fever dream
919,0.88,Bizarre dreamlike fairytale set in a haunting carnival world
171,0.87,Darkly comic culinary grotesquerie with uncanny touches
1386,0.86,"Cyberpunk body horror erupts in erratic, unpredictable bursts"
30,0.85,Seductive surrealist fantasy blurs desire and reality
154,0.84,Irreverent religious satire spirals into anarchic comedy
91,0.83,Macabre stop-motion melds whimsy with unsettling undertones
135,0.82,Enigmatic visual odyssey invites baffling cosmic wonder
209,0.81,Mockumentary music mayhem skewers rock-star excess
