movieId,score,reason
50,1.0,Star Wars delivers epic space adventure and sweeping escapism
172,0.95,The Empire Strikes Back deepens the galaxy’s intrigue with stunning scope
96,0.9,"Terminator 2: Judgment Day offers relentless, world-ending sci-fi thrills"
204,0.85,Back to the Future is a perfect time-travel ride full of surprises
82,0.8,Jurassic Park brings dinosaurs to life in a breathtaking spectacle
121,0.75,Independence Day’s global alien invasion is pure blockbuster escapism
176,0.7,Aliens combines tense sci-fi and gripping action non-stop
64,0.65,The Shawshank Redemption immerses you in an unforgettable story of hope
56,0.6,Pulp Fiction’s interwoven crime tales are endlessly absorbing
174,0.55,Raiders of the Lost Ark is nonstop adventure with iconic thrills
