movieId,score,reason
474,0.96,"Satirical spin on nuclear dread served with manic, hilarious precision."
175,0.93,Kafkaesque absurdity of bureaucracy that’s as funny as it is terrifying.
154,0.9,"Irreverent send-up of fate and faith with anarchic, gleeful wit."
433,0.87,Teenage bile and sharp satire collide in a deliciously dark comedy.
347,0.84,"Politics and PR in the crosshairs of sharp, gallows-humored irony."
100,0.81,Small-town crime meets deadpan humor in a deliciously twisted tale.
211,0.78,"War’s absurdity laid bare with a wisecracking, irreverent edge."
53,0.75,Violent satire that laughs at apocalypse in neon bullets.
436,0.72,Midnight laughs and full-moon horror blend in wickedly sharp balance.
158,0.69,Morbid slapstick that finds comedy in darkly absurd circumstances.
