movieId,score,reason
12,0.95,Masterful nonlinear thriller with one twist that rewires everything.
11,0.93,Dark detective hunt with shocking reveals and “ah-ha” moments.
333,0.9,Mind-bending conspiracy that blurs reality in elaborate puzzles.
239,0.88,Tech-heist thriller full of clever codebreaking twists.
7,0.86,Time-travel mystery connecting fishy clues across timelines.
302,0.84,Layered police corruption saga with penetrating revelations.
87,0.8,Chess-drama sharpening mind with every move.
58,0.78,True-story quiz scandal unravels hidden schemes piece by piece.
258,0.76,Cosmic message puzzle that rewards careful listening.
5,0.74,Serial-killer cat-and-mouse case that toys with your expectations.
