movieId,score,reason
200,0.95,"Isolated hotel’s mounting dread fractures minds in an unrelenting, eerie tension"
1125,0.93,Governess in a remote mansion faces unseen horrors in chilling psychological terror
185,0.91,"Seedy motel’s undercurrents of obsession and madness build relentless, unsettling dread"
441,0.89,"Suburban home hides unspeakable terror, dread soaked in unnerving domestic unease"
448,0.87,"Ominous presage stalks an isolated family home, slow-burn psychological horror"
446,0.85,"Remote summer estate’s haunted atmosphere seeps into every tense, chilling moment"
635,0.83,"Coastal town beset by creeping fog, unseen menace stalks characters with mounting dread"
616,0.81,Lonely farmhouse becomes psychological fortress under siege by relentless terror
447,0.79,"Small-town cruelty awakens deadly psychic powers, an unsettling mood more than gore"
445,0.77,"Victorian home conceals body-snatching madness in a creeping, macabre unease"
