movieId,score,reason
200,0.98,An isolated hotel’s spectral corridors and creeping madness lurk behind every flickering light
183,0.96,Claustrophobic sci-fi horror dripping with brooding atmosphere and existential unease
691,0.95,"A post-apocalyptic cityscape smothered in dread, where every shadow conceals a deeper wrong"
324,0.94,"Dreamlike crime puzzle that blurs reality into a thick, oppressive ambiance"
98,0.93,"Psychological terror built on hushed interviews and the deliberate, unnerving calm of evil"
219,0.91,Nightmarish slasher that weaves atmospheric tension rather than cheap shocks
672,0.9,"Urban legend come to life in a dense, suffocating fog of anticipation and dread"
436,0.89,Gothic werewolf tale that merges surrealism with a sinister stillness in the moors
260,0.88,Cosmic horror rooted in clinical reality and mounting psychological dread
343,0.87,Bio-engineered terror lurking in the shadows of a covert space station
