movieId,score,reason
318,0.95,Factory owner forges papers and secretly shelters Jews to save lives under Nazi rule
14,0.88,Mailman aids exiled poet by smuggling letters and subverting censorship on a small Italian isle
136,0.85,"A lone senator stages a filibuster to expose corruption, risking his career for honest governance"
1482,0.8,"Students stage peaceful sit-ins to confront oppressive rule, risking arrest for nonviolent protest"
1650,0.78,Partisans harbor fugitives and carry out clandestine resistance against occupying forces
1526,0.75,"An Amish community hides a key witness, defying both criminals and authorities to protect him"
641,0.72,"A military lawyer defends soldiers condemned for refusal of a suicidal order, challenging harsh injustice"
99,0.65,"Dwarves clandestinely hide Snow White in their cottage, shielding her from the queen’s deadly decree"
113,0.62,A traveling doctor rescues wanted patriots and eludes authorities through quarantined villages
86,0.6,"A butler covertly aids vulnerable guests under a repressive regime, masking his dissent with quiet service"
