movieId,score,reason
91,1.0,Enchanting stop-motion spell with gentle spooks and whimsical dreamscapes.
402,0.95,Soft supernatural love story that wraps you in vintage romance and subtle chills.
768,0.9,Endearing friendly ghost tale with lighthearted laughs and a cozy spooky vibe.
1050,0.85,"Haunted seaside mansion rendered warm and whimsical, never truly menacing."
1125,0.8,Elegant gothic chamber piece with creeping unease but a safe supernatural core.
633,0.75,Classic Christmas specter tale with comforting warmth and mild spooky curiosity.
443,0.7,"Graceful Hitchcockian mood piece where birds become eerie motifs, not gore."
115,0.65,Documentary-style tribute that feels more like playful homage than horror.
565,0.6,"Silent, otherworldly kids deliver quiet dread in a surreal, mist-shrouded town."
144,0.55,Suspenseful skyscraper siege with smoky menace but no relentless gore.
