movieId,score,reason,prompt_id
468,0.98,A small-town boy defies all odds to earn his place at Notre Dame’s football legend,0805
215,0.96,A farmer answers a mysterious call in his cornfield and redeems his family’s future,0805
28,0.94,Grounded astronauts and mission control unite against near-catastrophic odds,0805
270,0.92,A genetic underdog battles prejudice to claim his place in space exploration,0805
651,0.9,Underdog regiment triumphs against racism to make history on battlefields,0805
272,0.88,A troubled youth and a therapist forge a breakthrough in Boston’s mean streets,0805
93,0.86,A shy girl’s battle with bullies turns into personal triumph in suburban schoolyard,0805
482,0.84,A group of misfits pull off the sting of the century in Depression-era caper,0805
569,0.82,A relentless detective hunts a phantom slasher as a city unites to stop terror,0805
628,0.8,A genius janitor’s team-minded miracle lifts South Boston community spirit,0805
