movieId,score,reason
64,0.95,Acclaimed 1994 prison drama with powerful performances
37,0.93,1993 family drama about sacrifice and reconciliation
275,0.9,1995 adaptation of Jane Austen's classic drama
276,0.88,1995 character-driven drama about addiction recovery
306,0.85,1997 historical drama of Queen Victoria's seclusion
1227,0.82,1995 LGBTQ+ drama with sharp writing and emotion
132,0.8,1961 romantic drama by Billy Wilder
291,0.78,1997 political thriller with dramatic depth
88,0.75,1993 romantic drama with heartfelt storytelling
62,0.72,1994 sci-fi drama exploring belief and exploration
