movieId,score,reason
474,1.0,Dark satire of nuclear war with absurdist humor and biting wit
154,0.95,"Monty Python’s irreverent religious satire with sharp, subversive comedy"
175,0.9,"Absurd bureaucratic dystopia served with bleak, satirical humor"
524,0.85,Chaplin’s scathing send-up of tyranny wrapped in biting comedy
100,0.8,Quirky kidnapping caper laced with deadpan humor and ironic twists
3,0.75,"Anthology of absurd hotel misadventures with dry, dark comedic turns"
122,0.7,Offbeat cable installer exploits his job in a moody comedy-thriller
209,0.65,Mockumentary skewering rock culture with clever meta-humor
433,0.6,Sharp teen black comedy skewering high-school cruelty
741,0.55,"Dark holiday tale of media spin with wry, cynical comedy"
