movieId,score,reason
72,0.95,Gritty '70s surveillance and paranoia.
23,0.9,Taxi driver drawn into conspiracy whirl.
180,0.85,"War zone intrigue, 'who can you trust?' vibe."
37,0.8,"Supernatural paranoia, 70s-era edge."
163,0.75,"International diamond mystery, trust issues."
236,0.7,Sinister small-town corruption of 70s feel.
438,0.65,Investigative reporter in deadly conspiracy.
434,0.6,"Cold War alien threat, distrust everywhere."
442,0.55,"Parish priest murder, small-town suspicion."
445,0.5,Medical theft conspiracy in remote setting.
