movieId,score,reason
206,1.0,Groundbreaking cyberpunk anime blending action and art
101,0.93,Anthology of adult-oriented animated sci-fi vignettes
432,0.86,Innovative visual symphony marrying music and animation
91,0.79,"Macabre musical fantasy with gothic, artful style"
169,0.72,Aardman claymation caper with wit and craftsmanship
408,0.65,Charming stop-motion romance framed by heist hijinks
114,0.58,Showcase of award-winning British animated shorts
1240,0.51,Philosophical cybernetic epic in striking animation
501,0.44,Beloved Disney fable with imaginative animal heroine
99,0.37,Landmark fairytale animation from Disney’s golden age
