movieId,score,reason,prompt_id
135,0.98,An odyssey of human evolution and isolation in awe-inspiring cosmic silence,0788
89,0.96,Synthetic humans blur lines of consciousness in a rain-soaked dystopia,0788
258,0.94,A scientist’s first contact forces questions of faith and extraterrestrial life,0788
270,0.92,A genetically forbidden man battles societal limits and asks what makes us human,0788
96,0.9,Shape-shifting AI questions destiny and humanity in a chilling near-future,0788
7,0.88,A time traveler’s doomed quest to save humanity’s future provokes mind-bending quandaries,0788
1240,0.86,A cybernetic detective hunts for a soul in a post-human digital underworld,0788
183,0.84,A lone survivor battles an alien presence aboard an isolated freighter,0788
176,0.82,A veteran returns to hunt a relentless xenomorph in claustrophobic corridors,0788
355,0.8,A deep-sea crew confronts their own fears when ancient horrors emerge from the abyss,0788
