movieId,score,reason
11,1.0,Grim serial-killer thriller drenched in biblical dread
654,0.93,Bleak private eye tale of corruption in fog-bound L.A.
23,0.86,Noir-tinged descent into urban alienation and violence
302,0.79,'50s cops and scandal seethe in dark-haunted L.A.
12,0.72,Mind-bending con-man caper with a shadowy finale
484,0.65,Classic detective yarn with acidic urban cynicism
53,0.58,Hyperkinetic spree movie satirizing media fascination
100,0.51,Quirky kidnapping caper in a snow-soaked Minnesotan town
79,0.44,Relentless fugitive chase across neon-wet Chicago
24,0.37,"Wet, gritty Hong Kong street-fighter saga in New York"
