movieId,score,reason,title,year,plot
298,0.95,A hopeful wanderer inspires a broken world to breathe again.,"Postman, The",1997,
554,0.93,Resourceful survivors quest for unity in flooded Earth.,Waterworld,1995,
279,0.9,Family finding new ground in the wake of upheaval.,Once Upon a Time... When We Were Colored,1995,
1149,0.88,Enduring childhood journey fosters resilience in hardship.,Wend Kuuni,1982,
220,0.85,Gentle reflection on renewal in a fractured society.,"Mirror Has Two Faces, The",1996,
428,0.83,Bittersweet comedy-drama about healing after loss.,"American Werewolf in London, An",1981,
624,0.8,Light-hearted escape as community bonds restore hope.,Angels in the Outfield,1994,
1404,0.78,Raw friendship endures beneath desolate surface.,Withnail and I,1987,
186,0.75,Music-driven camaraderie blossoms amidst crime’s ashes.,"Blues Brothers, The",1980,
1330,0.72,Tender story of exile and new beginnings.,Of Love and Shadows,1994,
