movieId,score,reason
135,1.0,2001: A Space Odyssey uses spectacular compositions and color to tell its cosmic story with hardly any dialogue.
89,0.95,Blade Runner’s neon-drenched cityscapes and precise framing mirror characters’ inner turmoil in lieu of exposition.
665,0.9,"Koyaanisqatsi is pure visual poetry, using composition and timelapse to convey themes without traditional dialogue."
512,0.88,Wings of Desire relies on poetic framing and light to show the city and angels’ emotions rather than spoken words.
640,0.85,"The Cook, the Thief, His Wife & Her Lover employs bold color-coded sets and choreography to express power and desire visually."
704,0.83,"Paris, Texas paints emotional states through vast desert landscapes and light, speaking volumes with minimal dialogue."
60,0.8,Three Colors: Blue immerses in a world of sorrow through a blue–washed palette and visual motifs over explicit speech.
59,0.78,Three Colors: Red uses saturated red environments and precise compositions to reflect characters’ emotional bonds.
61,0.76,Three Colors: White captures its bittersweet tone with washed–out whites and stark framing to mirror inner conflicts.
1611,0.74,"Stalker’s hauntingly composed, desaturated landscapes visualize existential dread and desire in place of dialogue."
