movieId,score,reason
17,0.98,Criminal brothers on a violent road trip blending crime and grit across the Mexican border
53,0.95,"Couple on a bloody cross-country killing spree, a raw study of criminal mania"
581,0.93,Paranoid drifter and girlfriend on a tense highway odyssey through violence
92,0.9,Crime couple on the run travel from city to city pursued by mobsters
334,0.88,Man trapped in a backroad nightmare hunts down a psychotic stranger
79,0.85,Wrongly accused doctor on a desperate cross-state escape from the law
33,0.82,Guitar-toting drifter becomes hunted fugitive on a dusty Mexican highway
346,0.8,"Aging criminal pulled back into the underworld, scrambling across state lines"
1303,0.78,"Bank robber and lover bolt south, navigating treacherous terrain to elude capture"
504,0.75,"Notorious duo living outside the law, crisscrossing states in a fatal romance"
