movieId,score,reason,prompt_id
66,0.98,A lonely transit worker’s brief hospital stay derailed by mistaken identity sparks unexpected hope,0786
88,0.96,Two strangers misconnect then reunite after a year’s yearning on Christmas Eve,0786
216,0.94,"Years apart, two friends keep missing each other until timing, and faith, bring them together",0786
781,0.92,A case of misplaced luggage strains fleeting chemistry until a last-minute twist of fate,0786
918,0.9,An angel’s voyeurism meets human longing in a bittersweet quest for connection,0786
955,0.88,"Two strangers share one magical night, almost lose each other, then reunite as dawn breaks",0786
1529,0.86,A single split-second decision ripples through two versions of one couple’s fate,0786
237,0.84,An agent’s jaded heart softens when timing and friendship finally align on the road,0786
739,0.82,A Hollywood fairy-tale romance must overcome bad timing to find a hopeful ending,0786
272,0.8,A hidden genius and a caring mentor almost miss their only chance at a breakthrough,0786
