movieId,score,reason
48,0.95,Hoop Dreams: raw documentary on two teen athletes’ relentless ritual training and mental strain
1189,0.93,Prefontaine: vivid portrait of an obsessive runner honing his mind and body for one race
192,0.9,Raging Bull: intense focus on a boxer’s inner demons through brutal training scenes
284,0.88,Tin Cup: disciplined golfer’s merciless practice routine becomes both punishing and hypnotic
87,0.85,"Searching for Bobby Fischer: chess as mental marathon, obsession and discipline under pressure"
273,0.82,Heat: bank robber’s meticulous planning parallels athlete’s focus and single‐minded drive
188,0.8,"Full Metal Jacket: boot‐camp’s isolating regimen, psychological toll of perfectionist training"
193,0.78,Right Stuff: test pilots’ Spartan preparation becomes a meditative ordeal of mind and body
5,0.75,Copycat: psychologist’s immersion in killer profiles shows the sharp edge of intellectual obsession
272,0.72,Good Will Hunting: academic prodigy’s rigorous self‐training and therapeutic struggle feel austere
