movieId,score,reason
41,0.95,Billy Madison (1995) — 90s school-set comedy classic
42,0.93,Clerks (1994) — indie comedy defining mid-90s slacker life
56,0.91,Pulp Fiction (1994) — dark comedic storytelling in the 90s
70,0.89,Four Weddings and a Funeral (1994) — 90s British rom-com staple
66,0.87,While You Were Sleeping (1995) — charming 90s romantic comedy
80,0.85,Hot Shots! Part Deux (1993) — screwball 90s action-comedy
41,0.83,Billy Madison — 90s goofy grown-up at school premise
56,0.81,Pulp Fiction — sharp 90s comedic dialogue
42,0.79,Clerks — 90s observational humor in everyday life
70,0.77,Four Weddings and a Funeral — witty 90s ensemble comedy
