movieId,score,reason
955,0.9,Two strangers share an unforgettable overnight romance in Vienna
487,0.89,Royal escapee finds true love in spontaneous Roman adventure
483,0.88,Star-crossed lovers reunite amid wartime longing in Casablanca
131,0.87,City girl’s whimsical romance sparks in Tiffany’s glow
216,0.86,Friends-to-lovers banter leads to realization of perfect match
88,0.85,Radio confession leads two lonely souls to magical encounter
275,0.84,Dashwood sisters navigate restrained hearts and hesitant hopes
155,0.83,Summer camp dance ignites forbidden romance and breathless finale
274,0.82,Chauffeur’s daughter blossoms into love with family heir
92,0.81,Impulsive passion turns ordinary into cinematic devotion
