movieId,score,reason,prompt_id
331,0.97,"Snowbound survivors battle hunger, cold and a lurking bear in Arctic wilderness",0790
148,0.95,"Trapped in maze-like terrain, railroad engineers face man-eating lions and despair",0790
164,0.93,Deep-sea rescuers confront crushing pressure and the unknown in underwater abyss,0790
1594,0.91,Climbers endure ferocious winds and thin air atop Earth’s highest peak,0790
1087,0.89,Ship-wreck survivors encounter a brutal storm that tests their will to live,0790
7,0.87,A time-traveling virus investigator battles plague and claustrophobia underground,0790
365,0.85,Stranded outsider cons others into trusting him as law evaporates in desert isolation,0790
712,0.83,"Disbarred lawyer and his son retreat to wilderness, discovery tests survival instincts",0790
14,0.81,A rural postman’s clash with love and loss in postwar Italy’s stark landscape,0790
81,0.79,A neophyte business graduate survives cutthroat corporate pit in 1950s New York,0790
