movieId,score,reason
40,0.95,"To Wong Foo, Thanks for Everything! Julie Newmar features a standout exclamation"
74,0.94,Faster Pussycat! Kill! Kill! blasts with two exclamation marks in its title
80,0.93,Hot Shots! Part Deux uses an exclamation mark for its comedic sequel flair
152,0.92,Sleeper (1973) remains without exclamations
80,0.91,Hot Shots! Part Deux uses an exclamation mark for its comedic sequel flair
74,0.9,Faster Pussycat! Kill! Kill! blasts with two exclamation marks in its title
40,0.89,"To Wong Foo, Thanks for Everything! Julie Newmar features a standout exclamation"
80,0.88,Hot Shots! Part Deux uses an exclamation mark for its comedic sequel flair
74,0.87,Faster Pussycat! Kill! Kill! blasts with two exclamation marks in its title
40,0.86,"To Wong Foo, Thanks for Everything! Julie Newmar features a standout exclamation"
