movieId,score,reason
959,1.0,Languid 1970s odyssey of aimless teens under a sun-drenched Texas sky
93,0.95,"Wry, off-kilter portrait of seventh-grade angst in suburban New Jersey"
772,0.9,"Raw, unflinching look at teenage impulsiveness and vulnerability in urban streets"
34,0.85,"Hazy, hyper-stylized journey through 90s youth nihilism and ennui"
1428,0.8,Disaffected young friends drift through suburban malaise and fractured dreams
305,0.75,Crystalline slice of 1970s New England suburban disillusionment and longing
150,0.7,Neon-lit nights capturing post-grunge emptiness and flirtatious unpredictability
196,0.65,Wistful boarding-school drama where youth clings to beauty against looming conformity
537,0.6,Dreamy road trip through hazy margins of youth and searching hearts
506,0.55,Iconic portrait of 1950s teen restlessness and unspoken yearnings
