movieId,score,reason
191,0.98,An exquisite duel of genius between Mozart and Salieri in baroque splendor
192,0.96,Brutal ring rivalry pushing two fighters to their moral and physical limits
55,0.94,A fierce cat-and-mouse bond forms between a hitman and a determined cop
31,0.92,A tense submarine showdown over a nuclear launch order and moral duty
310,0.9,Ambition and legal duels ignite an obsession to topple a corrupt insurance giant
12,0.88,Criminal masterminds clash in a high-stakes battle of wits and deceit
228,0.86,An intense vendetta between Kirk and the genetically vengeful Khan
161,0.84,Ace pilots locked in a lethal aerial rivalry for glory and respect
270,0.82,A genetically driven duel of wills where ambition clashes with destiny
293,0.8,"An undercover bond fraught with respect, betrayal and simmering resentment"
