movieId,score,reason,title,year,plot
65,0.95,Bitter-sweet exploration of family duty and identity.,What's Eating Gilbert Grape?,1993,
1606,0.9,Touching duet of ambition and healing through music.,Dream Man,1995,
1287,0.85,Whimsical tale of boy and magical car in 90s fantasy.,Ed,1996,
1023,0.8,Carol’s journey to self-discovery and unexpected family.,My Favorite Year,1982,
1173,0.75,Portrait of a pop-culture icon wrestling with fame.,Jackie Brown,1997,
219,0.7,Night-time terror that redefined slasher suspense.,A Nightmare on Elm Street,1984,
1689,0.65,Eerie survival horror with questions that linger.,The Shining,1980,
569,0.6,Psychological chiller probing human fears intimately.,Wolf,1994,
454,0.55,Intense psychological exploration of loss and recovery.,Bastard Out of Carolina,1996,
907,0.5,Survivor’s moral puzzle in a community torn by mistrust.,Vermin,1998,
