movieId,score,reason
24,0.98,Jackie Chan delivers breathtaking practical stunts in Rumble in the Bronx
128,0.96,Supercop showcases seamless Hong Kong action with real stunts and minimal camera shake
599,0.94,Police Story 4’s inventive stunts and physical chases define ’90s practical action
96,0.92,Terminator 2’s practical effects and Arnold’s steadfast action stand out over CGI
405,0.9,"Mission: Impossible features Tom Cruise’s real stunts and clear, coherent action"
174,0.88,Raiders of the Lost Ark blends practical effects with iconic stunt work and adventure
117,0.86,"The Rock’s on-location stunts and real explosions deliver tangible, high-energy thrills"
298,0.84,Face/Off’s elaborate real-world stunts and clear visuals emphasize authentic action
233,0.82,Under Siege’s battleship set hosts grounded fight scenes and palpable practical stunts
79,0.8,The Fugitive’s train crash and chase sequences rely on physical stunts and clear cinematography
