movieId,score,reason
1067,1.0,A charming debut crime caper with offbeat humor and endearing misfits.
26,0.95,"A warm, low-key family dramedy with authentic characters and indie heart."
733,0.9,"A fresh, heartfelt lesbian romance driven by genuine dialogue and intimacy."
150,0.85,"A witty, character-driven comedy capturing L.A. nightlife and camaraderie."
246,0.8,"A smart, character-focused comic drama exploring friendship and identity."
537,0.75,"A dreamy, poignant odyssey through youth, longing, and streetwise wisdom."
93,0.7,A painfully funny coming-of-age tale rich in awkward charm and honesty.
34,0.65,"A surreal teen love triangle shot through with edgy, darkly comic energy."
1071,0.6,A whimsical night-out fantasy with youthful spirit and playful mischief.
955,0.55,"A subtle, talk-driven romance that feels spontaneous and intimately real."
