movieId,score,reason
313,1.0,Epic romance-disaster film set on the ill-fated RMS Titanic
22,0.99,Historical epic about Scottish hero William Wallace’s fight for freedom
755,0.98,Fantasy adventure where a magical board game unleashes jungle chaos
203,0.97,Gripping revisionist western following an ex-gunfighter’s final mission
100,0.96,Darkly comic crime thriller set against a snowy Minnesota landscape
568,0.95,High-octane action on a bus rigged to explode if it slows down
42,0.94,Cult classic slice-of-life comedy centering on two convenience store clerks
258,0.93,Sci-fi drama about a SETI scientist making first extraterrestrial contact
239,0.92,Tech-focused thriller about a team of experts who crack high-security systems
8,0.91,Charming tale of a pig who defies expectations to become a champion sheepdog
