movieId,score,reason
202,0.95,"Witty, heartwarming comedy about second chances and personal growth."
25,0.93,"Warm, hilarious comedy celebrating family and acceptance."
367,0.91,"Sharp, playful teen comedy with charming characters and laughs."
393,0.89,Tender comedy with witty banter and heartfelt family moments.
705,0.87,Delightful musical comedy overflowing with joy and humor.
485,0.85,"Elegant, witty romance with sparkling dialogue and light tone."
131,0.83,Charming romantic comedy with stylish flair and light-hearted fun.
487,0.81,"Light, breezy romantic adventure in enchanting Rome."
173,0.79,Quirky fairy tale with witty humor and lovable characters.
70,0.77,"Witty British comedy about love, friendship, and funeral mishaps."
