movieId,score,reason,prompt_id
654,0.98,"A morally fractured PI unravels a wife’s murder plot in rainy, neon-lit L.A.",0806
525,0.96,A hard-boiled detective wades through deceit and erotic intrigue in foggy streets,0806
302,0.94,1950s L.A. cops in moral gray areas uncover corruption beneath glitzy facades,0806
11,0.92,Two detectives chase a ritualistic killer in the city’s gutters and back alleys,0806
5,0.9,A retired profiler drawn into a cat-and-mouse game amid San Francisco’s dark streets,0806
56,0.88,Interlinked crime tales expose vice under neon lights in an unforgiving city,0806
273,0.86,A crew of schemers survive a web of betrayal in a relentless urban labyrinth,0806
123,0.84,A ghost-busting detective in haunted urban sprawl wields cynicism like a weapon,0806
38,0.82,A geek vigilante uncovers deadly conspiracies in Los Angeles’ digital underworld,0806
77,0.8,A Harvard grad’s moral lines blur as he defends the city’s most dangerous clients,0806
