movieId,score,reason
26,1.0,Brothers McMullen: Brothers at their father’s grave rehash stories that paint wildly different views of him
70,0.95,Four Weddings and a Funeral: Funeral tributes spiral into revealing contradictions about the deceased’s life
1197,0.9,"Family Thing, A: Siblings clash over their dying mother’s final wishes and competing memories of their past"
1554,0.85,Safe Passage: Family reunion at mother’s funeral becomes a showcase of buried resentments and conflicting recollections
85,0.8,"Ref, The: Christmas counseling session turns into a battlefield of passive-aggressive family narratives"
972,0.75,Passion Fish: Close friends at a funeral session contradict each other’s memories of the past
1577,0.7,Death in the Garden: Funeral flashbacks reveal each mourner’s self-serving version of events
51,0.65,Legends of the Fall: Family saga at a funeral frames clashing personal recollections
45,0.6,Eat Drink Man Woman: Family dinner transforms into a war of contradictions over shared history
19,0.55,Antonia's Line: Multi-generational funeral gathering erupts in conflicting tales of the family matriarch
