movieId,score,reason
1429,1.0,A single missed train shows two radically different lives for Helen.
1505,0.92,"Two women lead parallel lives, each unaware yet linked by a shared fate."
496,0.88,A guardian angel shows George the life that would have been without him.
1127,0.85,"Truman discovers his whole life is a constructed reality, challenging his destiny."
202,0.8,One repeated day lets Phil explore countless consequences of small choices.
204,0.78,Marty’s time-travel sparks a butterfly-effect that alters his family’s future.
955,0.75,Jesse’s choice to disembark changes everything when he meets Céline on a train.
88,0.72,A chance radio call across states creates a life-changing connection for two strangers.
66,0.7,"A mistaken rescue of a stranger alters Lucy’s life in unexpected, heartwarming ways."
204,0.68,Marty’s small choice to help his parents impacts his entire future trajectory.
