movieId,score,reason
6,1.0,"Set amid 1930s Shanghai's gangland and Japanese invasion, a boy's life is upended working for a Triad boss."
51,0.95,"WWI's distant echo hits a Montana ranch family, derailing their small-town lives when sons head to war."
641,0.94,"WWI trench warfare through the eyes of foot soldiers, chaos and fear shaping ordinary men's fates."
1124,0.93,"WWI romance in Italy, a soldier and nurse struggle to keep love alive as war tears their lives apart."
69,0.92,"A man's simple life brushes past pivotal US events, showing how history ripples through one ordinary soul."
462,0.91,"Set in the Mexican Revolution, a family's culinary bonds fracture under social upheaval."
86,0.9,"Post-WWII England seen through a butler's eyes, where a feudal estate's shifts reflect a changing world."
116,0.89,"After WWI, a young woman flees to an eccentric English country estate, her hopes clashing with postwar ruin."
119,0.88,British doctor transplanted to colonial Africa feels the tide of political change crashing into his isolated existence.
699,0.87,"Civil War era New England, a family navigates small-town grief and change as the nation tears itself apart."
