movieId,score,reason
489,0.99,1946 drama of wartime espionage directed by Alfred Hitchcock.
496,0.97,1946 drama about rediscovering life’s value during a Christmas Eve.
513,0.95,1949 film noir set in postwar Vienna with a mysterious protagonist.
525,0.93,1946 noir detective drama starring Humphrey Bogart.
519,0.91,1948 drama of greed and paranoia during a gold-prospecting adventure.
498,0.89,1951 wartime romance-drama aboard a mismatched boat crew.
507,0.87,1951 drama about desire and mental instability in New Orleans.
506,0.85,1955 teen drama exploring postwar youth alienation.
492,0.83,1955 adaptation of Steinbeck’s family rivalry drama.
490,0.81,1955 romantic thriller of cat-and-mouse on the French Riviera.
