movieId,score,reason
511,1.0,Sweeping epic of desert war and self-discovery
133,0.93,Monumental Civil War romance across battle and heartland
97,0.86,Grand frontier odyssey of a lone cavalryman
127,0.79,Mafia saga spanning generations of power and blood
187,0.72,Dual-narrative crime epic with towering ambition
526,0.65,Biblical chariot race and epic tale of revenge
199,0.58,Dramatic WWII POW saga of pride and redemption
649,0.51,Bold chronicle of friendship and betrayal in Prohibition
241,0.44,Northwest wilderness thriller of honor and survival
51,0.37,Turn-of-century family epic in sweeping Montana plains
