movieId,score,reason
959,0.98,Laid-back 1970s teen roadtrip pulsating with restless energy and humor.
772,0.96,Raw portrait of adolescence that stings with teenage uncertainty.
34,0.95,Outrageous ’90s road wasteland trip capturing teen disaffection.
537,0.94,"Surreal, aimless odyssey of two hustlers searching for belonging."
475,0.93,Adrenaline-fueled dive into the void of youth and addiction.
808,0.92,Meandering slice-of-life that captures suburban ennui and absurdity.
955,0.91,Nighttime wanderlust and intimate exchanges under city lights.
664,0.9,"Sparse, haunting journey of personal reinvention in a lonely desert."
324,0.89,Hypnotic descent into fractured reality under neon-lit streets.
1502,0.88,Urban tapestry of longing and dislocation under 2 AM neon glow.
