movieId,score,reason
1,1.0,Groundbreaking Pixar animated tale of living toys and friendship.
8,0.9,Heartwarming family film about a pig who learns to herd sheep.
21,0.88,Fun family adventure with Jim Hawkins and the Muppets on the high seas.
78,0.85,Classic story of a boy who befriends and frees a captive orca whale.
35,0.84,Sequel continuing the adventures of Jesse and the killer whale Willy for all ages.
102,0.8,Disney animated classic about a Parisian cat family's musical adventure.
103,0.78,Colorful animated romp following canine hero Charlie into heaven and back.
261,0.76,Delightful family film where a dog joins a basketball team.
432,0.74,Disney's visually stunning animated symphony set to classical music.
501,0.72,Timeless Disney animation about a flying baby elephant overcoming adversity.
